Title,Artist
Devil,Shinedown
Next To Me,Imagine Dragons
Run For Cover,The Killers
Bulletproof,Godsmack
Saturday Sun,Vance Joy
Psycho,Breaking Benjamin
Dangerous Night,Thirty Seconds To Mars
Handyman,AWOLNATION
Get Out,CHVRCHES
&Run,Sir Sly
Safari Song,Greta Van Fleet
Over And Over And Over,Jack White
Where's My Love,SYML
One Track Mind,Thirty Seconds To Mars Featuring A$AP Rocky
House On Fire,Rise Against
Hurt Somebody,Noah Kahan & Julia Michaels
Hold Me Tight Or Don't,Fall Out Boy
Waking Lions,Pop Evil
Celebrate,Dirty Heads Featuring The Unlikely Candidates
18,My Silent Bravery
Mystery Of Love,Sufjan Stevens
Walking On Water,NEEDTOBREATHE
Born For Greatness,Papa Roach
Can't Deny Me,Pearl Jam
Such A Simple Thing,Ray LaMontagne
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
Unstoppable,The Score
Pink Lemonade,James Bay
White Flag,Bishop Briggs
Whatever It Takes,Imagine Dragons
Thunder,Imagine Dragons
Believer,Imagine Dragons
Feel It Still,Portugal. The Man
Zombie,Bad Wolves
Sit Next To Me,Foster The People
No Roots,Alice Merton
Say Amen (Saturday Night),Panic! At The Disco
Broken,lovelytheband
Gone Away,Five Finger Death Punch
Live In The Moment,Portugal. The Man
Bulletproof,Godsmack
Saturday Sun,Vance Joy
Thought Contagion,Muse
I Feel Like I'm Drowning,Two Feet
Devil,Shinedown
A Sky Full Of Stars,Coldplay
Dangerous Night,Thirty Seconds To Mars
&Run,Sir Sly
You Worry Me,Nathaniel Rateliff & The Night Sweats
The Mountain,Three Days Grace
Handyman,AWOLNATION
Red Cold River,Breaking Benjamin
Unstoppable,The Score
Sky Full Of Song,Florence + The Machine
Where's My Love,SYML
White Flag,Bishop Briggs
TalkTalk,A Perfect Circle
Next To Me,Imagine Dragons
Safari Song,Greta Van Fleet
18,My Silent Bravery
Celebrate,Dirty Heads Featuring The Unlikely Candidates
Rats,Ghost
Hurt Somebody,Noah Kahan & Julia Michaels
Walking On Water,NEEDTOBREATHE
Favorite Color Is Blue,Robert DeLong + K.Flay
House On Fire,Rise Against
Pink Lemonade,James Bay
Get Out,CHVRCHES
(Fuck A) Silver Lining,Panic! At The Disco
Sorry,Nothing But Thieves
Sham Pain,Five Finger Death Punch
"So Long, And Thanks For All The Fish",A Perfect Circle
The Doomed,A Perfect Circle
I Hope You're Happy,Blue October
Disillusioned,A Perfect Circle
Wait By The River,Lord Huron
