Title,Artist
What Ifs,Kane Brown Featuring Lauren Alaina
Greatest Love Story,LANCO
Written In The Sand,Old Dominion
Losing Sleep,Chris Young
Body Like A Back Road,Sam Hunt
Like I Loved You,Brett Young
Five More Minutes,Scotty McCreery
Heaven,Kane Brown
You Broke Up With Me,Walker Hayes
All On Me,Devin Dawson
Broken Halos,Chris Stapleton
Legends,Kelsea Ballerini
Unforgettable,Thomas Rhett
I'll Name The Dogs,Blake Shelton
Female,Keith Urban
A Girl Like You,Easton Corbin
The Long Way,Brett Eldredge
Singles You Up,Jordan Davis
Most People Are Good,Luke Bryan
"Woman, Amen",Dierks Bentley
Boy,Lee Brice
Parallel Line,Keith Urban
Up Down,Morgan Wallen Featuring Florida Georgia Line
Happens Like That,Granger Smith
She's With Me,High Valley
Tequila,Dan + Shay
Take Back Home Girl,Chris Lane Featuring Tori Kelly
The Rest Of Our Life,Tim McGraw & Faith Hill
Make A Little,Midland
For The First Time,Darius Rucker
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Ones That Like Me,Brantley Gilbert
One Number Away,Luke Combs
Get To You,Michael Ray
Found You,Kane Brown
It Goes On,Zac Brown & Sir Rosevelt
She Ain't In It,Jon Pardi
Hooked,Dylan Scott
I'd Be Jealous Too,Dustin Lynch
When Someone Stops Loving You,Little Big Town
Criminal,Lindsay Ell
Sway,Danielle Bradbery
Heart Break,Lady Antebellum
Drunk Girl,Chris Janson
Born To Love You,LANCO
Kinda Don't Care,Justin Moore
Three Chords & The Truth,Chase Rice
Meant To Be,Bebe Rexha & Florida Georgia Line
Marry Me,Thomas Rhett
You Make It Easy,Jason Aldean
Five More Minutes,Scotty McCreery
Broken Halos,Chris Stapleton
Heaven,Kane Brown
Written In The Sand,Old Dominion
Most People Are Good,Luke Bryan
You Broke Up With Me,Walker Hayes
Yours,Russell Dickerson
All On Me,Devin Dawson
Singles You Up,Jordan Davis
The Long Way,Brett Eldredge
Female,Keith Urban
She's With Me,High Valley
Boy,Lee Brice
Up Down,Morgan Wallen Featuring Florida Georgia Line
One Number Away,Luke Combs
For The First Time,Darius Rucker
Happens Like That,Granger Smith
I'll Name The Dogs,Blake Shelton
Ones That Like Me,Brantley Gilbert
Take Back Home Girl,Chris Lane Featuring Tori Kelly
"Woman, Amen",Dierks Bentley
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Make A Little,Midland
Tequila,Dan + Shay
I Lived It,Blake Shelton
The Rest Of Our Life,Tim McGraw & Faith Hill
She Ain't In It,Jon Pardi
Get To You,Michael Ray
Hooked,Dylan Scott
Kiss Somebody,Morgan Evans
Parallel Line,Keith Urban
I'd Be Jealous Too,Dustin Lynch
Drunk Girl,Chris Janson
Heart Break,Lady Antebellum
Criminal,Lindsay Ell
Three Chords & The Truth,Chase Rice
Born To Love You,LANCO
Mercy,Brett Young
Something 'Bout You,Sir Rosevelt
What's Mine Is Yours,Kane Brown
Kinda Don't Care,Justin Moore
Doin' Fine,Lauren Alaina
Shoot Me Straight,Brothers Osborne
Millionaire,Chris Stapleton
Stupid,Levi Hummon
"Speakers, Bleachers And Preachers",Brandon Lay
A Little Dive Bar In Dahlonega,Ashley McBryde
Meant To Be,Bebe Rexha & Florida Georgia Line
Heaven,Kane Brown
You Make It Easy,Jason Aldean
Marry Me,Thomas Rhett
Most People Are Good,Luke Bryan
Singles You Up,Jordan Davis
Broken Halos,Chris Stapleton
All On Me,Devin Dawson
The Long Way,Brett Eldredge
Five More Minutes,Scotty McCreery
One Number Away,Luke Combs
Tequila,Dan + Shay
She's With Me,High Valley
I Lived It,Blake Shelton
Up Down,Morgan Wallen Featuring Florida Georgia Line
For The First Time,Darius Rucker
Take Back Home Girl,Chris Lane Featuring Tori Kelly
"Woman, Amen",Dierks Bentley
Boy,Lee Brice
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Mercy,Brett Young
Ones That Like Me,Brantley Gilbert
I Was Jack (You Were Diane),Jake Owen
Get To You,Michael Ray
Break Up In The End,Cole Swindell
She Ain't In It,Jon Pardi
Kiss Somebody,Morgan Evans
Coming Home,Keith Urban Featuring Julia Michaels
Hooked,Dylan Scott
I'd Be Jealous Too,Dustin Lynch
Heart Break,Lady Antebellum
Drunk Girl,Chris Janson
Gettin' Warmed Up,Jason Aldean
Criminal,Lindsay Ell
Kinda Don't Care,Justin Moore
A Little Dive Bar In Dahlonega,Ashley McBryde
Doin' Fine,Lauren Alaina
Three Chords & The Truth,Chase Rice
High Horse,Kacey Musgraves
Rearview Town,Jason Aldean
Born To Love You,LANCO
Shoot Me Straight,Brothers Osborne
Hangin' On,Chris Young
Hide The Wine,Carly Pearce
I Hate Love Songs,Kelsea Ballerini
Parallel Line,Keith Urban
Queens Don't,RaeLynn
Wild West,Runaway June
What's Mine Is Yours,Kane Brown
Something 'Bout You,Sir Rosevelt
Meant To Be,Bebe Rexha & Florida Georgia Line
Heaven,Kane Brown
You Make It Easy,Jason Aldean
Most People Are Good,Luke Bryan
Tequila,Dan + Shay
Singles You Up,Jordan Davis
One Number Away,Luke Combs
Babe,Sugarland Featuring Taylor Swift
Marry Me,Thomas Rhett
I Lived It,Blake Shelton
Get Along,Kenny Chesney
Up Down,Morgan Wallen Featuring Florida Georgia Line
For The First Time,Darius Rucker
"Woman, Amen",Dierks Bentley
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Cry Pretty,Carrie Underwood
Mercy,Brett Young
Take Back Home Girl,Chris Lane Featuring Tori Kelly
I Was Jack (You Were Diane),Jake Owen
Coming Home,Keith Urban Featuring Julia Michaels
Break Up In The End,Cole Swindell
Heart Break,Lady Antebellum
Get To You,Michael Ray
She Ain't In It,Jon Pardi
Kiss Somebody,Morgan Evans
Hooked,Dylan Scott
Drunk Girl,Chris Janson
Criminal,Lindsay Ell
Shoot Me Straight,Brothers Osborne
I Hate Love Songs,Kelsea Ballerini
Life Changes,Thomas Rhett
Rich,Maren Morris
