,Title,Artist
575,Pray For Me,The Weeknd
576,Say Something,Justin Timberlake
577,Young Dumb & Broke,Khalid
578,Wait,Maroon 5
579,Love.,Kendrick Lamar
580,God's Plan,Drake
581,Tell Me You Love Me,Demi Lovato
582,I Like Me Better,Lauv
583,My My My!,Troye Sivan
584,Whatever It Takes,Imagine Dragons
585,Lemon,N*E*R*D
586,Beautiful Trauma,P!nk
587,Friends,Marshmello
588,Beg,Jack
589,I Fall Apart,Post Malone
590,Walk On Water,Thirty Seconds To Mars
591,Hold Me Tight Or Don't,Fall Out Boy
592,Woman,Kesha
593,River,Eminem
594,I Miss You,Clean Bandit
595,End Game,Taylor Swift
596,Mine,Bazzi
597,No Roots,Alice Merton
598,Trust Fund Ba,'
599,On The Loose,Niall Horan
600,The Middle,"Zedd, Maren Morris"
601,Finesse,Bruno Mars
602,Meant To Be,Bebe Rexha
603,Him & I,G-Eazy
604,Let You Down,NF
605,Never Be The Same,Camila Cabello
606,Pray For Me,The Weeknd
607,Perfect,Ed Sheeran
608,New Rules,Dua Lipa
609,God's Plan,Drake
610,Whatever It Takes,Imagine Dragons
611,Lights Down Low,MAX
612,Wait,Maroon 5
613,Havana,Camila Cabello
614,Say Something,Justin Timberlake
615,Friends,Marshmello
616,No Excuses,Meghan Trainor
617,Mine,Bazzi
618,Tell Me You Love Me,Demi Lovato
619,I Like Me Better,Lauv
620,All The Stars,Kendrick Lamar
621,In My Blood,Shawn Mendes
622,IDGAF,Dua Lipa
623,Want You Back,5 Seconds Of Summer
624,Psycho,Post Malone
625,Delicate,Taylor Swift
626,On The Loose,Niall Horan
627,Lemon,N*E*R*D
628,No Roots,Alice Merton
629,Beg,Jack
630,Alone,Halsey
631,Trust Fund Ba,'
632,Sit Next To Me,Foster The People
633,Everyday,Logic
634,Everybody Hates Me,The Chainsmokers
635,Merengue,Kent Jones
636,Stir Fry,Migos
637,Make Me Feel,Janelle Monae
638,Sky Walker,Miguel
639,Sober Up,AJR
640,The Middle,"Zedd, Maren Morris"
641,Never Be The Same,Camila Cabello
642,Meant To Be,Bebe Rexha
643,God's Plan,Drake
644,Pray For Me,The Weeknd
645,Whatever It Takes,Imagine Dragons
646,New Rules,Dua Lipa
647,Wait,Maroon 5
648,Finesse,Bruno Mars
649,Mine,Bazzi
650,Friends,Marshmello
651,Him & I,G-Eazy
652,In My Blood,Shawn Mendes
653,Let You Down,NF
654,Perfect,Ed Sheeran
655,No Excuses,Meghan Trainor
656,I Like Me Better,Lauv
657,All The Stars,Kendrick Lamar
658,Psycho,Post Malone
659,Tell Me You Love Me,Demi Lovato
660,IDGAF,Dua Lipa
661,No Tears Left To Cry,Ariana Grande
662,Delicate,Taylor Swift
663,Want You Back,5 Seconds Of Summer
664,One Kiss,Calvin Harris
665,Done For Me,Charlie Puth
666,Alone,Halsey
667,On The Loose,Niall Horan
668,No Roots,Alice Merton
669,Sit Next To Me,Foster The People
670,Everyday,Logic
671,Say Something,Justin Timberlake
672,Nice For What,Drake
673,Let Me,Zayn
674,Love Lies,Khalid
675,Merengue,Kent Jones
676,Sober Up,AJR
677,These Days,Rudimental
678,Tattoo (How 'Bout You),In Real Life
679,Sober,G-Eazy
680,The Middle,"Zedd, Maren Morris"
681,Never Be The Same,Camila Cabello
682,Whatever It Takes,Imagine Dragons
683,Psycho,Post Malone
684,Wait,Maroon 5
685,Mine,Bazzi
686,God's Plan,Drake
687,Pray For Me,The Weeknd
688,Friends,Marshmello
689,No Tears Left To Cry,Ariana Grande
690,In My Blood,Shawn Mendes
691,New Rules,Dua Lipa
692,I Like Me Better,Lauv
693,Delicate,Taylor Swift
694,Meant To Be,Bebe Rexha
695,IDGAF,Dua Lipa
696,All The Stars,Kendrick Lamar
697,One Kiss,Calvin Harris
698,Done For Me,Charlie Puth
699,Nice For What,Drake
700,Back To You,Selena Gomez
701,Alone,Halsey
702,On The Loose,Niall Horan
703,Sit Next To Me,Foster The People
704,Everyday,Logic
705,Let Me,Zayn
706,Love Lies,Khalid
707,Familiar,Liam Payne
708,Sober Up,AJR
709,Tattoo (How 'Bout You),In Real Life
710,These Days,Rudimental
711,Don't Go Breaking My Heart,Backstreet Boys
712,Sober,G-Eazy
713,Move To Miami,Enrique Iglesias
714,Pray,Sam Smith
715,All Night,Big Boi
716,Home With You,Madison Beer
717,I Like It,"Cardi B, Bad Bunny"
718,X,Nicky Jam x J Balvin
719,Drew Barrymore,Bryce Vine
720,Psycho,Post Malone
721,Mine,Bazzi
722,No Tears Left To Cry,Ariana Grande
723,Friends,Marshmello
724,Delicate,Taylor Swift
725,The Middle,"Zedd, Maren Morris"
726,In My Blood,Shawn Mendes
727,Never Be The Same,Camila Cabello
728,I Like Me Better,Lauv
729,Girls Like You,Maroon 5
730,One Kiss,Calvin Harris
731,Nice For What,Drake
732,Back To You,Selena Gomez
733,New Rules,Dua Lipa
734,I Like It,"Cardi B, Bad Bunny"
735,Love Lies,Khalid
736,Alone,Halsey
737,Better Now,Post Malone
738,IDGAF,Dua Lipa
739,Sit Next To Me,Foster The People
740,Growing Pains,Alessia Cara
741,Don't Go Breaking My Heart,Backstreet Boys
742,Youngblood,5 Seconds Of Summer
743,Done For Me,Charlie Puth
744,Familiar,Liam Payne
745,Dinero,Jennifer Lopez
746,Move To Miami,Enrique Iglesias
747,Home With You,Madison Beer
748,Drew Barrymore,Bryce Vine
749,Remind Me To Forget,Kygo
750,All Night,Big Boi
751,Bed,Nicki Minaj
752,Lie,NF
753,Let You Be Right,Meghan Trainor
754,Fake Love,BTS
755,Nevermind,Dennis Lloyd
756,All The Stars,Kendrick Lamar
757,I'm A Mess,Bebe Rexha
758,Almost Love,Sabrina Carpenter
759,Team,Noah Cyrus
760,Girls Like You,Maroon 5
761,Friends,Marshmello
762,Delicate,Taylor Swift
763,No Tears Left To Cry,Ariana Grande
764,Psycho,Post Malone
765,Better Now,Post Malone
766,I Like It,"Cardi B, Bad Bunny"
767,Mine,Bazzi
768,Love Lies,Khalid
769,One Kiss,Calvin Harris
770,Back To You,Selena Gomez
771,I Like Me Better,Lauv
772,Youngblood,5 Seconds Of Summer
773,The Middle,"Zedd, Maren Morris"
774,Never Be The Same,Camila Cabello
775,In My Blood,Shawn Mendes
776,Growing Pains,Alessia Cara
777,In My Feelings,Drake
778,Nice For What,Drake
779,Don't Go Breaking My Heart,Backstreet Boys
780,Remind Me To Forget,Kygo
781,I'm A Mess,Bebe Rexha
782,Bed,Nicki Minaj
783,Drew Barrymore,Bryce Vine
784,Lie,NF
785,Home With You,Madison Beer
786,God Is A Woman,Ariana Grande
787,Dinero,Jennifer Lopez
788,Let You Be Right,Meghan Trainor
789,Nevermind,Dennis Lloyd
790,Jackie Chan,Tiesto
791,Lucid Dreams,Juice WRLD
792,No Brainer,DJ Khaled
793,All Night,Big Boi
794,The Way I Am,Charlie Puth
795,Solo,Clean Bandit
796,SoulMate,Justin Timberlake
797,Boo'd Up,Ella Mai
798,Almost Love,Sabrina Carpenter
799,Eastside,"benny blanco, Halsey"
800,Girls Like You,Maroon 5
801,Better Now,Post Malone
802,Love Lies,Khalid
803,I Like It,"Cardi B, Bad Bunny"
804,Back To You,Selena Gomez
805,In My Feelings,Drake
806,Youngblood,5 Seconds Of Summer
807,No Tears Left To Cry,Ariana Grande
808,No Brainer,DJ Khaled
809,Delicate,Taylor Swift
810,Psycho,Post Malone
811,Mine,Bazzi
812,Friends,Marshmello
813,God Is A Woman,Ariana Grande
814,One Kiss,Calvin Harris
815,Remind Me To Forget,Kygo
816,Growing Pains,Alessia Cara
817,I'm A Mess,Bebe Rexha
818,Side Effects,The Chainsmokers
819,Lie,NF
820,Drew Barrymore,Bryce Vine
821,Home With You,Madison Beer
822,Lucid Dreams,Juice WRLD
823,Jackie Chan,Tiesto
824,The Way I Am,Charlie Puth
825,Don't Go Breaking My Heart,Backstreet Boys
826,Eastside,"benny blanco, Halsey"
827,Almost Love,Sabrina Carpenter
828,Natural,Imagine Dragons
829,Broken,lovelytheband
830,Nice For What,Drake
831,Beautiful,Bazzi
832,Boo'd Up,Ella Mai
833,Happy Now,Zedd
834,Solo,Clean Bandit
835,2002,Anne-Marie
836,Let You Be Right,Meghan Trainor
837,Taste,Tyga
838,Rise,Jonas Blue
839,Promises,Calvin Harris
840,Youngblood,5 Seconds Of Summer
841,Love Lies,Khalid
842,Better Now,Post Malone
843,Girls Like You,Maroon 5
844,Back To You,Selena Gomez
845,God Is A Woman,Ariana Grande
846,No Brainer,DJ Khaled
847,I Like It,"Cardi B, Bad Bunny"
848,I'm A Mess,Bebe Rexha
849,Lucid Dreams,Juice WRLD
850,Natural,Imagine Dragons
851,In My Feelings,Drake
852,Lie,NF
853,Happier,Marshmello
854,Eastside,"benny blanco, Halsey"
855,Jackie Chan,Tiesto
856,The Way I Am,Charlie Puth
